Portfolio,Mu,Sigma,Sharpe,Treynor,Sortino,Omega,Mu_anual,Sigma_anual,Beta,VaR,CVaR,MaxDrawdown,Profit_%,YearMonth,Year,Asset_Class,Method
Sharpe,3.425,5.905,0.58,0.026,0.84,4.022,41.104,20.457,1.319,0.062,0.089,8.922,47.062,2019-12,2019,Tecnologia,Sharpe
Sharpe,3.377,6.975,0.484,0.045,1.51,3.081,40.524,24.163,0.757,0.065,0.074,9.785,45.246,2020-12,2020,Tecnologia,Sharpe
Sharpe,3.357,6.993,0.48,0.066,1.136,4.129,40.288,24.224,0.506,0.049,0.074,7.434,45.006,2021-12,2021,Tecnologia,Sharpe
Sharpe,-2.889,9.987,-0.289,-0.02,-0.554,0.513,-34.674,34.595,1.476,0.156,0.163,36.476,-33.589,2022-12,2022,Tecnologia,Sharpe
Sharpe,2.583,8.254,0.313,0.022,0.508,2.189,30.992,28.592,1.154,0.105,0.12,14.112,30.942,2023-12,2023,Tecnologia,Sharpe
Sharpe,3.177,6.9,0.46,0.019,0.706,3.328,38.125,23.902,1.652,0.071,0.103,10.369,41.966,2024-12,2024,Tecnologia,Sharpe
Sharpe,1.637,3.906,0.419,-0.646,0.575,3.134,19.648,13.533,-0.025,0.039,0.064,6.418,20.526,2019-12,2019,Salud,Sharpe
Sharpe,0.303,5.746,0.053,0.005,0.101,1.132,3.634,19.904,0.609,0.079,0.089,9.653,1.828,2020-12,2020,Salud,Sharpe
Sharpe,3.78,6.165,0.613,0.033,0.797,4.851,45.362,21.358,1.151,0.051,0.094,9.388,53.023,2021-12,2021,Salud,Sharpe
Sharpe,0.804,6.133,0.131,0.016,0.213,1.428,9.645,21.245,0.497,0.087,0.096,7.983,7.851,2022-12,2022,Salud,Sharpe
Sharpe,1.008,4.244,0.237,0.049,0.996,1.768,12.092,14.701,0.205,0.04,0.041,3.956,11.701,2023-12,2023,Salud,Sharpe
Sharpe,2.25,7.029,0.32,0.023,2.891,2.187,27.004,24.35,0.988,0.047,0.049,15.349,27.318,2024-12,2024,Salud,Sharpe
Sharpe,4.021,4.043,0.994,0.056,2.239,11.9,48.25,14.007,0.717,0.021,0.035,3.483,59.158,2019-12,2019,Financieros,Sharpe
Sharpe,1.683,10.435,0.161,0.013,0.304,1.47,20.199,36.148,1.294,0.133,0.164,23.728,15.141,2020-12,2020,Financieros,Sharpe
Sharpe,1.623,6.94,0.234,0.015,0.567,1.924,19.47,24.04,1.053,0.073,0.087,8.797,18.28,2021-12,2021,Financieros,Sharpe
Sharpe,-0.109,8.604,-0.013,-0.001,-0.023,0.97,-1.307,29.805,0.996,0.128,0.146,25.432,-5.294,2022-12,2022,Financieros,Sharpe
Sharpe,-0.466,13.866,-0.034,-0.004,-0.041,0.91,-5.59,48.033,1.182,0.204,0.326,32.748,-15.969,2023-12,2023,Financieros,Sharpe
Sharpe,2.368,4.194,0.565,0.03,2.147,3.794,28.42,14.529,0.796,0.033,0.04,3.965,31.215,2024-12,2024,Financieros,Sharpe
Sharpe,2.762,3.534,0.782,0.08,9.092,11.932,33.14,12.241,0.347,0.015,0.017,1.731,37.776,2019-12,2019,Consumo,Sharpe
Sharpe,1.285,4.693,0.274,0.024,0.407,2.152,15.415,16.258,0.547,0.054,0.076,10.991,15.177,2020-12,2020,Consumo,Sharpe
Sharpe,3.888,5.226,0.744,0.051,1.639,5.078,46.652,18.104,0.761,0.049,0.061,6.081,55.798,2021-12,2021,Consumo,Sharpe
Sharpe,-0.846,8.069,-0.105,-0.009,-0.292,0.782,-10.15,27.954,0.975,0.103,0.117,14.038,-12.903,2022-12,2022,Consumo,Sharpe
Sharpe,-0.297,4.153,-0.072,-0.006,-0.157,0.848,-3.565,14.386,0.507,0.067,0.07,12.071,-4.435,2023-12,2023,Consumo,Sharpe
Sharpe,3.917,5.485,0.714,0.028,2.265,8.032,47.005,19.002,1.38,0.025,0.041,4.147,56.178,2024-12,2024,Consumo,Sharpe
Sharpe,0.764,7.055,0.108,0.007,0.215,1.299,9.17,24.439,1.15,0.087,0.112,21.967,6.629,2019-12,2019,Energia,Sharpe
Sharpe,-1.214,15.027,-0.081,-0.007,-0.107,0.793,-14.57,52.056,1.818,0.225,0.338,39.61,-24.667,2020-12,2020,Energia,Sharpe
EQ,3.348,7.33,0.457,1.854,0.939,3.299,40.174,25.393,0.018,0.074,0.078,8.215,44.419,2021-12,2021,Energia,Sharpe
Sharpe,4.477,11.077,0.404,0.039,0.698,2.822,53.722,38.372,1.152,0.114,0.164,16.396,58.783,2022-12,2022,Energia,Sharpe
Sharpe,-0.319,6.781,-0.047,-0.013,-0.061,0.886,-3.832,23.491,0.253,0.116,0.137,14.191,-6.262,2023-12,2023,Energia,Sharpe
Sharpe,-1.377,6.587,-0.209,-0.023,-0.308,0.586,-16.523,22.819,0.589,0.103,0.123,30.592,-17.393,2024-12,2024,Energia,Sharpe
Sharpe,1.466,8.046,0.182,0.01,0.551,1.597,17.586,27.872,1.402,0.081,0.082,14.344,15.111,2019-12,2019,Industriales,Sharpe
Sharpe,2.154,9.671,0.223,0.019,0.286,2.007,25.842,33.502,1.108,0.112,0.17,22.325,22.929,2020-12,2020,Industriales,Sharpe
